
=== strategy=seu-us  seed=0  missing_rate=0.2 ===
 Round  #Remaining        Mean         Min         Max    #Pos
   469        2945    -0.04195    -2.06616     0.00000      45
   470        2944    -0.03565    -2.06616     0.00000      65
   471        2943    -0.05355    -2.26679     0.00000      60
   472        2942    -0.04445    -1.97452     0.00000      61
   473        2941    -0.03375    -1.74879     0.00000      70
   474        2940    -0.05586    -2.34282     0.00000      51
   475        2939    -0.03455    -2.65173     0.00000      59
   476        2938    -0.05227    -2.34265     0.00000      51
   477        2937    -0.03209    -2.39004     0.00000      59
   478        2936    -0.01988    -1.54862     0.00000      61
   479        2935    -0.03088    -2.22160     0.00000      71
   480        2934    -0.03882    -2.22160     0.00000      62
   481        2933    -0.03672    -2.65176     0.00000      61
   482        2932    -0.03933    -2.65256     0.00000      60
   483        2931    -0.02974    -2.22157     0.00000      60
   484        2930    -0.05166    -2.33806     0.00000      57
   485        2929    -0.02684    -1.84262     0.00000      61
   486        2928    -0.03148    -1.94402     0.00000      44
   487        2927    -0.05504    -2.65175     0.00000      51
   488        2926    -0.04453    -1.99638     0.00000      66
   489        2925    -0.06298    -2.73204     0.00000      56
   490        2924    -0.04572    -2.06616     0.00000      40
   491        2923    -0.03184    -1.99582     0.00000      59
   492        2922    -0.06930    -2.38881     0.00000      44
   493        2921    -0.05559    -2.39342     0.00000      45
   494        2920    -0.05332    -2.65169     0.00000      42
   495        2919    -0.04406    -2.65169     0.00000      44
   496        2918    -0.02260    -1.97452     0.00000      56
   497        2917    -0.05472    -1.99917     0.00000      48
   498        2916    -0.03738    -2.65219     0.00000      41
   499        2915    -0.02364    -2.65170     0.00000      53
   500        2914    -0.05708    -2.39687     0.00000      55
   501        2913    -0.01794    -1.59442     0.00000      53
   502        2912    -0.06185    -2.65343     0.00000      52
   503        2911    -0.05485    -2.65372     0.00000      40
   504        2910    -0.07334    -2.73200     0.00000      67
   505        2909    -0.06429    -2.65576     0.00000      54
   506        2908    -0.04939    -2.65576     0.00000      55
   507        2907    -0.03080    -1.92866     0.00000      59
   508        2906    -0.04730    -1.94915     0.00000      55
   509        2905    -0.03953    -2.73200     0.00000      52
   510        2904    -0.05509    -1.94268     0.00000      46
   511        2903    -0.03229    -2.39241     0.00000      65
   512        2902    -0.03072    -2.30786     0.00000      44
   513        2901    -0.05351    -2.65171     0.00000      65
   514        2900    -0.03202    -1.87480     0.00000      45
   515        2899    -0.03486    -1.76038     0.00000      55
   516        2898    -0.04348    -1.74012     0.00000      58
   517        2897    -0.06834    -2.65165     0.00000      55
   518        2896    -0.03941    -2.53283     0.00000      66
   519        2895    -0.05051    -2.65381     0.00000      60
   520        2894    -0.03005    -2.07441     0.00000      50
   521        2893    -0.07472    -2.73928     0.00000      57
   522        2892    -0.04959    -2.65683     0.00000      54
   523        2891    -0.03920    -2.65166     0.00000      36
   524        2890    -0.03118    -1.76405     0.00000      48
   525        2889    -0.05424    -2.39254     0.00000      42
   526        2888    -0.05788    -2.73927     0.00000      60
   527        2887    -0.04122    -2.22165     0.00000      38
   528        2886    -0.06887    -2.65165     0.00000      45
   529        2885    -0.04794    -2.40064     0.00000      45
   530        2884    -0.06632    -2.31364     0.00000      49
   531        2883    -0.06861    -2.66054     0.00000      44
   532        2882    -0.05308    -2.53385     0.00000      59
   533        2881    -0.03012    -2.08556     0.00000      50
   534        2880    -0.04430    -2.08750     0.00000      53
   535        2879    -0.02734    -2.08750     0.00000      61
   536        2878    -0.03303    -1.65338     0.00000      63
   537        2877    -0.04568    -2.73928     0.00000      38
   538        2876    -0.05029    -2.66204     0.00000      37
   539        2875    -0.03092    -2.65168     0.00000      55
   540        2874    -0.05330    -2.39328     0.00000      50
   541        2873    -0.02722    -2.39335     0.00000      54
   542        2872    -0.02928    -2.66263     0.00000      54
   543        2871    -0.06060    -2.66292     0.00000      45
   544        2870    -0.06089    -2.73924     0.00000      50
   545        2869    -0.05044    -2.22481     0.00000      54
